iso3,annee,z_conflits,lag_z,cluster
ZWE,2006,-0.44702273078679816,-0.4470227307867982,NS
AGO,2007,0.10985399564079398,-0.1484031241531866,NS
BDI,2007,0.9181990047943333,-0.1079218014233429,NS
BEN,2007,-0.3785678215725624,-0.19316906002367953,NS
BFA,2007,-0.3785678215725624,-0.21147697242840552,NS
BWA,2007,-0.3785678215725624,-0.35976265528740886,NS
CAF,2007,1.6387116553981222,0.0615262527219221,NS
CIV,2007,-0.3098268123193464,-0.1354001267258749,NS
CMR,2007,-0.3785678215725624,0.11724213473931464,NS
COD,2007,0.42167178298172714,0.09550478033029575,NS
COG,2007,-0.2581486364493487,0.2826203581751037,NS
DJI,2007,-0.3785678215725624,0.011692016905327257,NS
ERI,2007,-0.3785678215725624,0.19890930029559858,NS
ETH,2007,0.4019518553832169,0.9190589098045182,HH
GAB,2007,-0.3785678215725624,-0.3384280931981578,NS
GHA,2007,-0.3785678215725624,-0.3556541518214904,NS
GIN,2007,0.5758945049080175,-0.32354829540488345,NS
GMB,2007,-0.3785678215725624,-0.3785678215725624,NS
GNB,2007,-0.3785678215725624,0.09866334166772756,NS
GNQ,2007,-0.3785678215725624,-0.3785678215725624,NS
KEN,2007,0.24331294847465365,1.088682922022221,HH
LBR,2007,-0.3785678215725624,-0.03750004299463042,NS
LSO,2007,-0.3785678215725624,-0.3785678215725624,NS
MDG,2007,-0.3785678215725624,0,NS
MLI,2007,-0.11719167381970479,-0.07022562596862346,NS
MOZ,2007,-0.3785678215725624,-0.3640813014002318,NS
MRT,2007,-0.22414592154159232,-0.2478797476961336,NS
MWI,2007,-0.3785678215725624,-0.3746683362747727,NS
NAM,2007,-0.3785678215725624,-0.2658393251017683,NS
NER,2007,0.2938601162863052,-0.15886037686651805,NS
NGA,2007,-0.3094007132358985,-0.018462345247670445,NS
RWA,2007,-0.3785678215725624,0.23162531402062708,NS
SDN,2007,0.5733438670761413,0.33459080270087044,NS
SEN,2007,-0.3785678215725624,-0.10451574671968089,NS
SLE,2007,-0.3785678215725624,0.09866334166772756,NS
SOM,2007,5.833400107994001,0.3226324019289353,NS
SSD,2007,-0.3785678215725624,0.5387486572165837,NS
SWZ,2007,-0.3785678215725624,-0.3785678215725624,NS
TCD,2007,0.38942614586813784,0.3635894207904216,NS
TGO,2007,-0.3785678215725624,-0.3785678215725624,NS
TZA,2007,-0.3668693656791934,0.002801535493263209,NS
UGA,2007,-0.0465001660143585,-0.09180405547358748,NS
ZAF,2007,-0.3785678215725624,-0.3660310440491267,NS
ZMB,2007,-0.3785678215725624,-0.20662025372235876,NS
ZWE,2007,-0.30334715643194815,-0.3785678215725624,NS
